Y1,Y2
冰山难靠,5
冰炭,7
兵败,8
兵败将亡,5
兵败如山倒,5
兵变,5
兵荒马乱,5
兵火,5
兵连祸结,7
兵临城下,5
兵乱,7
兵痞,7
兵器,3
秉性剌戾,9
并发症,5
并日而食,3
病案,5
病包儿,7
病虫害,5
病床,5
病毒,5
病毒性肝炎,7
病笃,7
病房,5
病根,5
病害,5
病急乱投医,3
病例,5
病粒,5
病魔,7
病情加重,8
病容,5
病入膏肓,5
病态,7
病象,5
病恹恹,1
病原虫,5
病原菌,5
病原体,7
病院,5
拨弄,5
波荡,5
波诡云谲,8
波澜再起,8
波涛,3
波折,5
剥夺,8
剥肤及髓,5
剥离,8
剥皮抽筋,9
剥削,3
播穅眯目,5
播糠眯目,5
播弄,7
驳斥,7
驳回,5
驳难,7
驳杂,1
勃然,9
博而不精,3
博士买驴,3
博土买驴,6
搏斗,5
簸荡,5
簸弄,3
卜昼卜夜,5
补考,7
补正,7
捕风捉影,3
捕影系风,5
不安全,8
不安于室,5
不拔一毛,5
不避斧钺,5
不避汤火,5
不辨龙蛇,5
不辨菽麦,7
不辨菽粟,5
不辩菽麦,5
不才,7
不测,7
不测之罪,5
不称职,8
不成才,5
不成材,5
不成功,8
不成话,5
不成器,5
不成熟,8
不成体统,7
不成样子,7
不诚实,8
不逞,3
不逞之徒,5
不齿,3
不齿于人,5
不啻,7
不辞而别,3
不待见,5
不当,3
不当行为,8
不到黄河心不死,5
不道,7
不道德,7
不得劲,5
不得其死,3
不得人心,7
不得善终,5
不得要领,3
不得已,7
不登大雅,5
不迭,5
不端,5
不对,3
不对茬儿,5
不法行为,8
不方便,8
不分青白,5
不分青红皂白,7
不分皁白,5
不分皂白,5
不敷,5
不伏烧埋,5
不服从,8
不符,5
不敢越雷池一步,5
不干不净,3
不根之论,5
不耕而食，不蚕而衣,3
不更事,3
不公,3
不公平,8
不攻自破,1
不够,5
不管不顾,3
不管三七二十一,3
不规则,8
不轨,3
不合格,8
不合理,3
不合情理,8
不合时宜,3
不合算,8
不护细行,5
不怀好意,5
不遑,7
不会透露,8
不活动,8
不及,5
不济,5
不济事,7
不佳,8
不稼不穑,5
不坚定,5
不兼容,8
不见得,5
不见棺材不落泪,5
不见经传,1
不见天日,7
不健全,8
不觉技痒,5
不教而诛,5
不洁,9
不结实,8
不今不古,3
不近情理,7
不近人情,3
不经之说,5
不经之谈,3
不经之语,5
不景气,7
不敬,7
不拘小节,1
不开化,7
不堪,9
不堪回首,7
不堪其忧,7
不堪入耳,7
不堪入目,9
不堪设想,7
不堪一击,5
不堪造就,9
不看了了,3
不可,5
不可避免,8
不可持续,8
不可告人,5
不可行,8
不可恢复,8
不可教训,5
不可接受,8
不可究诘,7
不可救药,5
不可抗拒,8
不可靠,8
不可控,8
不可理喻,5
不可能的,8
不可能性,8
不可逆,8
不可企及,7
不可取,8
不可调和,8
不可挽回,5
不可一世,7
不可用,8
不可预测,8
不可预见,8
不可预知,8
不可再生,8
不克,3
不快,5
不郎不秀,7
不稂不莠,7
不朗不秀,5
不劳而获,5
不了不当,5
不了了之,3
不理想,8
不力,5
不利,5
不廉,7
不良,3
不良资产,8
不凉不酸,5
不劣方头,5
不灵,8
不伦不类,7
不落边际,5
不履行,8
不满,3
不毛之地,5
不敏,5
不名一钱,1
不名一文,5
不名誉,7
不明不白,5
不明朗,8
不能废止,8
不能接受的,8
不能取消,8
不佞,5
不匹配,8
不平等条约,7
不期而然,7
不起眼,3
不起眼儿,3
不切实际,7
不清不白,7
不清不楚,5
不求甚解,3
不确定,8
不人道,7
不仁,7
不仁不义,9
不忍,5
不容乐观,8
不容置喙,7
不如意事常八九,3
不入时宜,5
不三不四,7
不僧不俗,5
不衫不履,3
不胜衣,1
不识大体,3
不识东家,5
不识好歹,5
不识局面,5
不识起倒,5
不识人间有羞耻事,7
不识时变,3
不识时务,3
不识抬举,5
不识泰山,5
不识闲儿,3
不识一丁,5
不识之无,5
不实,8
不实的,8
不食之地,5
不是话,7
不是滋味儿,3
不适,5
不适当,8
不适合,8
不适宜,8
不受控,8
不死不活,5
不遂,5
不通水火,5
不同意,8
不痛不痒,5
不透明,3
不妥,5
不外,5
不完全,8
不完整,8
不韪,7
不文不武,5
不闻不问,1
不稳定,8
不稳平衡,5
不问青红皂白,7
不问是非情由,7
不问皁白,5
不舞之鹤,5
不务正业,5
不咸不淡,5
不相称,8
不相闻问杜门谢客,5
不详,5
不像话,9
不肖,7
不肖子孙,5
不消,7
不小心,8
不晓世务,5
不孝,7
不协调,8
不屑于,5
不幸,8
不修边幅,3
不脩边幅,5
不恤,5
不旋踵,5
不学无识,5
不学无术,7
不逊,5
不雅,3
不扬,3
不要脸,7
不要命,8
不夷不惠,8
不宜,3
不以为耻,7
不以为然,7
不以为意,5
不义,7
不义之财,7
不翼而飞,8
不因人热,5
不阴不阳,5
不由分说,3
不友好,8
不渝,7
不允许,8
不在其位，不谋其政,5
不择生冷,5
不择手段,7
不怎么样,3
不着边际,3
不着调,5
不真实,8
不振,8
不整齐,3
不正常,8
不正确4,8
不知颠倒,5
不知薡蕫,5
不知甘苦,7
不知高低,7
不知高下,5
不知好歹,5
不知进退,5
不知就里,5
不知利害,5
不知轻重,7
不知深浅,3
不知死活,5
不知所从,5
不知所厝,5
不知所错,5
不知所为,5
不知所以,5
不知所云,5
不知疼痒,5
不知天高地厚,5
不知痛痒,5
不知头脑,5
不知羞耻,7
不直一钱,5
不直一文,5
不值钱,8
不值一顾,5
不值一钱,7
不值一哂,5
不值一提,3
不值一文,9
不值一笑,5
不治之症,5
不置褒贬,3
不中,5
不忠,8
不忠诚,8
不周,3
不准确,8
不自量,5
不自量力,5
不足,5
不足齿数,5
不足道,1
不足挂齿,3
不足轻重,9
不足取,5
不足为据,7
不足为凭,3
不足为外人道,3
不作为,8
布鼓雷门,5
布氏杆菌病,7
步履维艰,5
步人后尘,5
部分质变,5
猜忌,5
猜疑,5
才高运蹇,5
才疏学浅,7
才疏意广,3
财迷,3
财迷心窍,9
财政危机,7
裁处,7
裁汰,7
裁员,8
彩风随鸦,5
彩凤随鸦,3
参差不齐,5
参错,3
残败,3
残暴,9
残兵败将,5
残喘,5
残毒,5
残废,7
残害,9
残货,3
残疾,7
残局,5
残酷,8
